Title,Year,Runtime,Genre,Rating,Summary
Odd Squad,(2014– ),27 min,"
Action, Adventure, Comedy            ",6.5,"
Geared for children ages 5-8, ""Odd Squad"" follows two young agents, Olive and Otto, who are part of an agency that seeks to save the day using math when odd things happen."
The Dresden Files,(2007–2008),60 min,"
Action, Crime, Drama            ",7.7,"
A Chicago-based wizard works as a private investigator."
Training Day,(2017),42 min,"
Action, Crime, Drama            ",6.0,"
TV follow-up to the 2001 film 'Training Day' about a rookie cop partnered with a corrupt officer."
24: Legacy,(2016–2017),41 min,"
Action, Crime, Drama            ",6.2,"
A military hero who returns to the U.S. with a whole lot of trouble following him back. With nowhere else to turn, the man asks CTU to help him save his life while also stopping one of the largest-scale terror attacks on American soil."
Ransom,(2017–2019),44 min,"
Action, Crime, Drama            ",6.6,"
A team of crisis negotiators travel the globe to help multinational corporations and governmental agencies with complex negotiations and conflict resolution."
Batman: The Brave and the Bold,(2008–2011),30 min,"
Animation, Action, Adventure            ",7.3,"
An updated animated series centering on the Caped Crusader himself as he partners and deals with his fellow superheroes in the DC Comics universe."
Rejseholdet,(2000–2004),75 min,"
Action, Crime, Drama            ",8.2,"
A mobile task force is dispatched across Denmark to help local police solve tough cases."
Legends,(2014–2015),60 min,"
Action, Crime, Drama            ",7.5,"
Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a ...                See full summary »
"
Bulletproof,(2018–2021),60 min,"
Action, Crime, Drama            ",6.6,"
Action drama following Bishop and Pike; two NCA agents taking down hardened criminals in London."
Human Target,(2010–2011),60 min,"
Action, Adventure, Crime            ",7.7,"
A unique bodyguard protects his clients by secretly infiltrating their lives in order to draw out and eliminate threats."
Alcatraz,(2012),60 min,"
Action, Crime, Drama            ",7.0,"
In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
Comrade Detective,(2017),40 min,"
Action, Comedy, Crime            ",7.3,"
Parody comedy designed to resemble a non-existent gritty 1980's Cold War Romanian police show that promoted Communist ideals. The action-packed and blood-soaked first season finds Detectives Gregor Anghel and Joseph Baciu investigating the murder of fellow officer Nikita Ionescu and, in the process, unraveling a subversive plot to destroy their country that is fueled by what-else-but the greatest...                See full summary »
"
The Beast,(2009),60 min,"
Action, Crime, Drama            ",7.8,"
A veteran F.B.I. Agent is assigned a new partner, unaware that he was recruited as a double agent to investigate his activities."
Spider-Man,(2003),21 min,"
Animation, Action, Adventure            ",7.0,"
A young man with spider like abilities fights crime as a superhero in New York City while trying to have a normal personal life."
M.I.High,(2007–2014),28 min,"
Action, Comedy, Crime            ",6.3,"
Four school children work for MI9, and fight against a criminal agency called skul."
Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,(2013),25 min,"
Animation, Action, Crime            ",6.9,"
A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating ...                See full summary »
"
Powers,(2015–2016),42 min,"
Action, Crime, Drama            ",6.7,"
Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner."
Black Dynamite,(2011–2015),22 min,"
Animation, Action, Adventure            ",8.1,"
Action comedy-spoof that follows ex-C. I. A. Agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps, and The Man."
Drzavni sluzbenik,(2019– ),,"
Action, Crime, Drama            ",8.3,"
A young, ambitious Serbian Secret Service agent negotiates the dangerous rules of the modern century international spy game"
Chase,(2010–2011),60 min,"
Action, Crime, Drama            ",7.2,"
A team tracks down fugitive criminals."
Hunter Street,(2017– ),22 min,"
Action, Adventure, Comedy            ",7.0,"
Max, the newest addition to the Hunter family, must team up with his siblings Anika, Sal, Tess, and Daniel to find his foster parents Erik and Kate after they disappear mysteriously one night."
Trackers,(2019– ),60 min,"
Action, Crime, Drama            ",6.5,"
Action series featuring various stories of organized crime, diamond smuggling, Black Rhinos, the CIA and terrorism in Cape Town, South Africa."
Curfew,(2019– ),60 min,"
Action, Crime, Drama            ",6.1,"
A group of amateur drivers from all over the world compete in an illegal night-time street race."
Vegas,(2012–2013),44 min,"
Action, Crime, Drama            ",7.3,"
Ralph Lamb, a former MP for the US Army, becomes sheriff. His brother, Jack, and his son, Dixon, are deputized. Meanwhile, Vincent Savino comes from Chicago to Vegas to run The Savoy hotel and casino."
The Player,(2015),60 min,"
Action, Crime, Drama            ",7.0,"
A former intelligence and FBI officer, who now works as a security expert in Las Vegas, is recruited by mysterious pit boss Mr. Johnson to, based on his tips, try to prevent crimes, while the rich place bets on his chances of success."
Black Scorpion,(2001),,"
Action, Crime, Drama            ",6.2,"
The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ...                See full summary »
"
Generator Rex,(2010–2013),24 min,"
Animation, Action, Adventure            ",7.6,"
In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations."
Those Who Kill,(2014),60 min,"
Action, Crime, Drama            ",7.2,"
Follows Catherine Jensen, a recently promoted homicide detective who enlists the help of Thomas Schaeffer, a forensic psychologist, to track down serial killers and relentlessly seeks the ...                See full summary »
"
Baccano!,(2007–2008),384 min,"
Animation, Action, Adventure            ",8.3,"
A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades."
Quantum Break,(2016),20 min,"
Action, Crime, Drama            ",7.9,"
Bridging gaming and live-action, the thriller looks into aspect the villains of the game and the dramatic backstory as it unfolds."
Flying Tiger,(2018– ),,"
Action, Adventure, Crime            ",7.0,"
A mysterious gang, The Black Snake Gang, is rising throughout the world. After a dangerous heist of a mysterious device from the FBI, the HKPD assigns Ko Ka Chun, to save Hong Kong from the imminent threat from the Black Snake Gang."
Detroit 1-8-7,(2010–2011),42 min,"
Action, Crime, Drama            ",7.6,"
The everyday trials and tribulations of Detroit's homicide unit."
Dark Blue,(2009–2010),60 min,"
Action, Crime, Drama            ",7.5,"
Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles."
Power Rangers Time Force,(2001),30 min,"
Action, Adventure, Crime            ",7.1,"
The Time Force Power Rangers travel to the past to stop Ransik and his band of criminal mutants."
Fear Thy Neighbor,(2014–2021),44 min,"
Action, Crime, Drama            ",7.7,"
True crime show about conflicts between neighbors that go terribly wrong."
The Firm,(2012),60 min,"
Action, Crime, Drama            ",7.1,"
Defense Attorney Mitch McDeere is targeted for execution by the Chicago Mob in retaliation for bringing down a profitable Mob-operated Memphis law firm ten years earlier."
Ghost in the Shell SAC_2045,(2020– ),25 min,"
Animation, Action, Crime            ",6.2,"
Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
Devils Line,(2018– ),24 min,"
Animation, Action, Crime            ",6.9,"
Vampires seem to be living among humans. Of course the government does not know of their existence, because their appearance does not differ from humans. They also do not need to drink ...                See full summary »
"
A Touch of Cloth,(2012–2014),60 min,"
Action, Comedy, Crime            ",7.9,"
DCI Jack Cloth and DC Anne Oldman are paired to investigate a series of grisly murders done by a devious killer."
Gang Related,(2014),46 min,"
Action, Crime, Drama            ",7.6,"
As kid, Ryan Lopez got connected to gang boss Javier Acosta. He's now detective in LAPD's Gang Task Force. While secretly passing info on to Javier, he's a good cop 95% of the time."
Danger Mouse,(2015–2019),22 min,"
Animation, Action, Adventure            ",7.1,"
The continuing adventures of secret agent Danger Mouse and his sidekick Penfold."
Fastlane,(2002–2003),60 min,"
Action, Comedy, Crime            ",7.5,"
Two hotshot undercover cops and their equally tough female handler take down the highest and lowest criminals in L.A. in this pop-culture-heavy, dark, flashy, over-the-top action crime dramedy inspired by Bad Boys and Miami Vice."
Special Unit 2,(2001–2002),60 min,"
Action, Comedy, Crime            ",7.6,"
Detectives Kate Benson and Nick O'Malley from a secret Chicago P.D. unit solve violent crimes committed by mythological creatures aka 'Links' while trying to hide the Links existence from the general public."
Flikken Maastricht,(2007– ),50 min,"
Action, Crime, Drama            ",7.4,"
The personal and professional lives of two police detectives, and their colleagues in uniform, unfold in the picturesque town of Maastricht, in the south of The Netherlands."
Stripperella,(2003–2004),30 min,"
Animation, Action, Comedy            ",5.6,"
Pamela Anderson provides the voice of Erotica Jones who is stripper by night and superhero Stripperella by even later at night."
Drive,(2007),60 min,"
Action, Adventure, Crime            ",7.7,"
A drama about various people competing in an illegal cross-country road race."
Vegas,(2021– ),,"
Action, Crime            ",6.0,"
Vegas is set in a fictional world very like modern-day Aotearoa, but in truth it could be a thousand-year tale of warring Norsemen."
Ryan Hansen Solves Crimes on Television,(2017–2019),30 min,"
Action, Comedy, Crime            ",7.2,"
In a world where Hollywood actors can partner up with real cops to solve crimes on their shows, a no-nonsense cop is forced to team up with an air-headed actor, Ryan Hansen, for his new YouTube Premium crime reality show/meta sitcom."
The Chicago Code,(2011),44 min,"
Action, Crime, Drama            ",7.7,"
Detective Jarek Wysocki, one of Chicago's toughest cops, struggles to clean up the town's violence and corruption."
Deathstroke: Knights & Dragons,(2020),92 min,"
Animation, Action, Adventure            ",6.6,"
Ten years ago, Slade Wilson-aka the super-assassin called Deathstroke-made a tragic mistake and his wife and son paid a terrible price. Now, a decade later, Wilson's family is threatened once again."
T.U.F.F. Puppy,(2010–2015),,"
Animation, Short, Action            ",5.7,"
A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives."
XIII: The Series,(2011–2012),45 min,"
Action, Crime, Drama            ",6.6,"
An amnesiac secret operative is being used by unknown groups to cover up dirty business involving high ranking officials from the CIA."
Traveler,(2007),45 min,"
Action, Crime, Mystery            ",8.2,"
Jay and Tyler find themselves hunted by the FBI after a bombing of a museum. Their only lead is their best friend, Will Traveler, who disappeared after the bombing and is not in any record ...                See full summary »
"
Fillmore!,(2002–2004),30 min,"
Action, Animation, Comedy            ",7.7,"
Former delinquent now fights for the good guys at X Middle School."
The Kill Point,(2007),,"
Action, Crime, Drama            ",7.3,"
A group of military veterans, who recently returned home from serving in Iraq, band together to pull off a major bank heist."
Seis Manos,(2019– ),27 min,"
Animation, Action, Adventure            ",7.2,"
Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice."
Shadow hunters,(2017– ),45 min,"
Action, Crime, Drama            ",6.9,"
Adventures of an anti-terrorism special forces team."
Matador,(2014),48 min,"
Action, Crime, Sci-Fi            ",5.8,"
DEA agent Tony Bravo is recruited by the CIA to participate in tryouts for the LA Riot in order to spy on the team's corrupt owner."
The Border,(2008–2010),60 min,"
Action, Crime, Drama            ",7.0,"
The cases of the Canadian Immigration and Customs Security Squad."
Hunter,(2003),60 min,"
Action, Adventure, Crime            ",7.2,"
Tough Homicide detective Rick Hunter and his beautiful partner Dee Dee McCall screech tires and chase bad guys around San Diego."
#FreeRayshawn,(2020),,"
Short, Action, Crime            ",6.3,"
A black military veteran finds himself in a showdown with a New Orleans SWAT team and tries to talk his way out of the situation with the help of a sympathetic officer."
Mammon,(2014–2016),58 min,"
Action, Crime, Mystery            ",6.8,"
A newspaper journalist revealing fraud in a large multinational company, finds his family involved, ruining his career, family relations, and entangles him in a following mystery."
Queen Sono,(2020–2021),43 min,"
Action, Crime, Drama            ",5.9,"
A drama about a secret agent who fights crime while dealing with crises in her personal life."
Big Dogs,(2020– ),52 min,"
Action, Crime, Mystery            ",5.7,"
BIG DOGS exists in an alternate reality of New York City. Businesses are shuttered, crime is rampant, black markets thrive. Drug are run via taxis and NYPD detectives use taxis for undercover teams trying to rein in the chaos."
Durham County,(2007–2010),60 min,"
Action, Crime, Drama            ",7.4,"
They say there's only six degrees of separation between you and anyone else in the world, but sometimes it's not even that. Sometimes the most brutal evil you can imagine is already in your...                See full summary »
"
The Inspectors,(2015–2019),30 min,"
Short, Action, Adventure            ",5.5,"
Amanda Wainwright is a single mom who works as a US Postal Inspector while son Preston is a forensics lab intern. Amanda's partner is Mitch who helps deliver a message after each case is solved."
Street Fighter: Resurrection,(2016– ),,"
Action, Crime, Sci-Fi            ",6.4,"
The long-presumed dead Charlie Nash is back, and is targeting legendary Street Fighter champions for mysterious reasons. Ken and Ryu must uncover his lethal plan and discover if he is ally or enemy."
Jormungand,(2012),24 min,"
Animation, Action, Crime            ",7.5,"
Jormungand focuses on a travelling merchant and on a one hell of a Scandinavian beauty, Koko Hekmatyar. She also has a group of happy friends that help Koko avoid the trouble. However, our ...                See full summary »
"
Juda,(2017– ),45 min,"
Action, Crime, Drama            ",7.2,"
Juda Ben Haim is a showy little thug, on his way to the biggest gambling in Romania with the money of a dangerous French mobster. A mysterious and beautiful woman shows up and changes all the picture."
Decker,(2014– ),11 min,"
Action, Comedy, Crime            ",8.0,"
CIA agent Jack Decker has to save the United States from terrorists due to an incompetent president."
New York Is Dead,(2017– ),51 min,"
Action, Comedy, Crime            ",7.9,"
A darkly hilarious series about two broke New York City artists who become hired killers to make ends meet."
